id 	 label 	 chromosome
1	bin1	1
2	bin2	1
3	bin3	1
4	bin4	1
5	bin5	1
6	bin6	1
7	bin7	1
8	bin8	1
9	bin9	1
10	bin10	1
11	bin11	1
12	bin12	1
13	bin13	1
14	bin14	1
15	bin15	1
16	bin16	1
17	bin17	1
18	bin18	1
19	bin19	1
20	bin20	1
21	bin21	1
22	bin22	1
23	bin23	1
24	bin24	1
25	bin25	1
26	bin26	1
27	bin27	1
28	bin28	1
29	bin29	1
30	bin30	1
31	bin31	1
32	bin32	1
33	bin33	1
34	bin34	1
35	bin35	1
36	bin36	1
37	bin37	1
38	bin38	1
39	bin39	1
40	bin40	1
41	bin41	1
42	bin42	1
43	bin43	1
44	bin44	1
45	bin45	1
46	bin46	1
47	bin47	1
48	bin48	1
49	bin49	1
50	bin50	1
51	bin51	1
52	bin52	1
53	bin53	1
54	bin54	1
55	bin55	1
56	bin56	1
57	bin57	1
58	bin58	1
59	bin59	1
60	bin60	1
61	bin61	1
62	bin62	1
63	bin63	1
64	bin64	1
65	bin65	1
66	bin66	1
67	bin67	1
68	bin68	1
69	bin69	1
70	bin70	1
71	bin71	1
72	bin72	1
73	bin73	1
74	bin74	1
75	bin75	1
76	bin76	1
77	bin77	1
78	bin78	1
79	bin79	1
80	bin80	1
81	bin81	1
82	bin82	1
83	bin83	1
84	bin84	1
85	bin85	1
86	bin86	1
87	bin87	1
88	bin88	1
89	bin89	1
90	bin90	1
91	bin91	1
92	bin92	1
93	bin93	1
94	bin94	1
95	bin95	1
96	bin96	1
97	bin97	1
98	bin98	1
99	bin99	1
100	bin100	1
101	bin101	1
102	bin102	1
103	bin103	1
104	bin104	1
105	bin105	1
106	bin106	1
107	bin107	1
108	bin108	1
109	bin109	1
110	bin110	1
111	bin111	1
112	bin112	1
113	bin113	1
114	bin114	1
115	bin115	1
116	bin116	1
117	bin117	1
118	bin118	1
119	bin119	1
120	bin120	1
121	bin121	1
122	bin122	1
123	bin123	1
124	bin124	1
125	bin125	1
126	bin126	1
127	bin127	1
128	bin128	1
129	bin129	1
130	bin130	1
131	bin131	1
132	bin132	1
133	bin133	1
134	bin134	1
135	bin135	1
136	bin136	1
137	bin137	1
138	bin138	1
139	bin139	1
140	bin140	1
141	bin141	1
142	bin142	1
143	bin143	1
144	bin144	1
145	bin145	1
146	bin146	1
147	bin147	1
148	bin148	1
149	bin149	1
150	bin150	1
151	bin151	1
152	bin152	1
153	bin153	1
154	bin154	1
155	bin155	1
156	bin156	1
157	bin157	1
158	bin158	1
159	bin159	1
160	bin160	1
161	bin161	1
162	bin162	1
163	bin163	1
164	bin164	1
165	bin165	1
166	bin166	1
167	bin167	1
168	bin168	1
169	bin169	1
170	bin170	1
171	bin171	1
172	bin172	1
173	bin173	1
174	bin174	1
175	bin175	1
176	bin176	1
177	bin177	1
178	bin178	1
179	bin179	1
180	bin180	1
181	bin181	1
182	bin182	1
183	bin183	1
184	bin184	1
185	bin185	1
186	bin186	1
187	bin187	1
188	bin188	1
189	bin189	1
190	bin190	1
191	bin191	1
192	bin192	1
193	bin193	1
194	bin194	1
195	bin195	1
196	bin196	1
197	bin197	1
198	bin198	1
199	bin199	1
200	bin200	1
201	bin201	1
202	bin202	1
203	bin203	1
204	bin204	1
205	bin205	1
206	bin206	1
207	bin207	1
208	bin208	1
209	bin209	1
210	bin210	1
211	bin211	1
212	bin212	1
213	bin213	1
214	bin214	1
215	bin215	1
216	bin216	1
217	bin217	1
218	bin218	1
219	bin219	1
220	bin220	1
221	bin221	1
222	bin222	1
223	bin223	1
224	bin224	1
225	bin225	1
226	bin226	1
227	bin227	1
228	bin228	1
229	bin229	1
230	bin230	1
231	bin231	1
232	bin232	1
233	bin233	1
234	bin234	1
235	bin235	1
236	bin236	1
237	bin237	1
238	bin238	1
239	bin239	1
240	bin240	1
241	bin241	1
242	bin242	1
243	bin243	1
244	bin244	1
245	bin245	1
246	bin246	1
247	bin247	1
248	bin248	1
249	bin249	1
250	bin250	1
251	bin251	1
